image_index,image_name,label_id,class
0,11500X00.png,1,1
0,11500X00.png,2,1
0,11500X00.png,3,1
0,11500X00.png,4,1
0,11500X00.png,5,0
0,11500X00.png,6,1
0,11500X00.png,7,1
0,11500X00.png,8,1
0,11500X00.png,9,1
0,11500X00.png,10,1
0,11500X00.png,11,1
0,11500X00.png,12,1
0,11500X00.png,13,1
0,11500X00.png,14,1
0,11500X00.png,15,1
0,11500X00.png,16,1
0,11500X00.png,17,1
0,11500X00.png,18,1
0,11500X00.png,19,1
0,11500X00.png,20,1
0,11500X00.png,21,1
0,11500X00.png,22,1
0,11500X00.png,23,1
0,11500X00.png,24,1
0,11500X00.png,25,1
0,11500X00.png,26,0
0,11500X00.png,27,1
0,11500X00.png,28,0
1,11500X01.png,1,1
1,11500X01.png,2,1
1,11500X01.png,3,1
1,11500X01.png,4,1
1,11500X01.png,5,0
1,11500X01.png,6,1
1,11500X01.png,7,1
1,11500X01.png,8,1
1,11500X01.png,9,1
1,11500X01.png,10,1
1,11500X01.png,11,1
1,11500X01.png,12,1
1,11500X01.png,13,1
1,11500X01.png,14,1
1,11500X01.png,15,1
1,11500X01.png,16,1
1,11500X01.png,17,1
1,11500X01.png,18,1
1,11500X01.png,19,1
1,11500X01.png,20,1
1,11500X01.png,21,1
1,11500X01.png,22,1
1,11500X01.png,23,1
1,11500X01.png,24,1
1,11500X01.png,25,1
1,11500X01.png,26,0
1,11500X01.png,27,1
1,11500X01.png,28,0
2,11500X02.png,1,1
2,11500X02.png,2,1
2,11500X02.png,3,1
2,11500X02.png,4,1
2,11500X02.png,5,1
2,11500X02.png,6,1
2,11500X02.png,7,0
2,11500X02.png,8,1
2,11500X02.png,9,1
2,11500X02.png,10,1
2,11500X02.png,11,1
2,11500X02.png,12,1
2,11500X02.png,13,0
2,11500X02.png,14,1
2,11500X02.png,15,0
2,11500X02.png,16,1
2,11500X02.png,17,1
2,11500X02.png,18,1
2,11500X02.png,19,1
2,11500X02.png,20,1
2,11500X02.png,21,1
2,11500X02.png,22,0
2,11500X02.png,23,0
2,11500X02.png,24,1
2,11500X02.png,25,1
2,11500X02.png,26,1
2,11500X02.png,27,1
2,11500X02.png,28,1
2,11500X02.png,29,1
2,11500X02.png,30,1
2,11500X02.png,31,1
2,11500X02.png,32,1
2,11500X02.png,33,0
2,11500X02.png,34,0
2,11500X02.png,35,1
2,11500X02.png,36,1
3,11500X03.png,1,1
3,11500X03.png,2,1
3,11500X03.png,3,1
3,11500X03.png,4,1
3,11500X03.png,5,1
3,11500X03.png,6,1
3,11500X03.png,7,0
3,11500X03.png,8,1
3,11500X03.png,9,1
3,11500X03.png,10,1
3,11500X03.png,11,1
3,11500X03.png,12,1
3,11500X03.png,13,0
3,11500X03.png,14,1
3,11500X03.png,15,0
3,11500X03.png,16,1
3,11500X03.png,17,1
3,11500X03.png,18,1
3,11500X03.png,19,1
3,11500X03.png,20,1
3,11500X03.png,21,1
3,11500X03.png,22,0
3,11500X03.png,23,0
3,11500X03.png,24,1
3,11500X03.png,25,1
3,11500X03.png,26,1
3,11500X03.png,27,1
3,11500X03.png,28,1
3,11500X03.png,29,1
3,11500X03.png,30,1
3,11500X03.png,31,1
3,11500X03.png,32,1
3,11500X03.png,33,0
3,11500X03.png,34,0
3,11500X03.png,35,1
3,11500X03.png,36,1
4,11500X04.png,1,1
4,11500X04.png,2,1
4,11500X04.png,3,0
4,11500X04.png,4,1
4,11500X04.png,5,1
4,11500X04.png,6,1
4,11500X04.png,7,0
4,11500X04.png,8,1
4,11500X04.png,9,1
4,11500X04.png,10,1
4,11500X04.png,11,1
4,11500X04.png,12,1
4,11500X04.png,13,1
4,11500X04.png,14,1
4,11500X04.png,15,1
4,11500X04.png,16,1
4,11500X04.png,17,1
4,11500X04.png,18,1
4,11500X04.png,19,1
4,11500X04.png,20,1
4,11500X04.png,21,1
4,11500X04.png,22,0
4,11500X04.png,23,0
4,11500X04.png,24,1
4,11500X04.png,25,1
