label,area,equivalent_diameter,eccentricity,solidity,perimeter,circularity,mean_intensity,max_intensity,min_intensity,image_index,image_name
1,341.0,20.83685880248485,0.9744434160959384,0.7948717948717948,103.45584412271572,0.4003632313998124,0.5822065258128029,0.8579667464261611,0.4620528866801644,0,11500X00.png
2,1004.0,35.75377606511099,0.8939395447861163,0.8373644703919934,167.77564927611033,0.44821431256294125,0.45833256947056855,0.7601079820847905,0.23860359531259587,0,11500X00.png
3,3726.0,68.8773587159323,0.593836274018235,0.9227340267459139,269.56349186104046,0.6443629596408236,0.40061265197865553,0.7274065893613105,0.0292042456592429,0,11500X00.png
4,63.0,8.95623198216277,0.8592011213181859,0.8873239436619719,30.727922061357855,0.8384632424818957,0.6076163987078764,0.633842567028652,0.5839622062703234,0,11500X00.png
5,53.0,8.214724333230155,0.6844723306185838,0.7464788732394366,29.556349186104043,0.7624022267226648,0.5728306054197096,0.7234186146389349,0.5451254678201116,0,11500X00.png
6,50.0,7.978845608028654,0.865068676865494,0.9615384615384616,25.899494936611667,0.9366930077176154,0.6064138904227252,0.6336585066568501,0.5691760230688999,0,11500X00.png
7,58.0,8.593479713983122,0.7131236476782825,0.9830508474576272,25.899494936611667,1.0865638889524338,0.5914367498746484,0.6356831707466716,0.5096631695196024,0,11500X00.png
8,9771.0,111.53843997298543,0.6404743460768544,0.890620727372163,500.3279938488576,0.4905002937028069,0.4092433771215928,0.7586968525676422,0.0,0,11500X00.png
9,86.0,10.464157913908982,0.8532882558131897,0.8958333333333334,37.384776310850235,0.7732478879153051,0.613873443512728,0.6443953616786305,0.5341431989692619,0,11500X00.png
10,7225.0,95.91222920311857,0.6301305408627004,0.8387508706756442,480.1503243191939,0.39381591443000635,0.4186630848136182,0.8186391803178109,0.012700165654334622,0,11500X00.png
11,64.0,9.0270333367641,0.864353640390497,0.6808510638297872,39.55634918610404,0.5139932717015793,0.621459713786122,0.6394870850972453,0.5464138904227254,0,11500X00.png
12,141.0,13.398760233979036,0.9224957944821788,0.834319526627219,54.04163056034261,0.6066973364017398,0.6087942566201904,0.6813301429535554,0.5556782624700902,0,11500X00.png
13,74.0,9.706684619910241,0.9036932406967192,0.7474747474747475,39.79898987322333,0.5870802692440528,0.5516347379958644,0.6883244370820296,0.5143873857291859,0,11500X00.png
